Iteracion,Fecha,Namespace,Pod,Nodo
34,2026-01-16 01:43:50,default,teastore-db-84f96b9dd8-kj5lk,leo02
34,2026-01-16 01:43:50,default,teastore-image-79674648d-pstf8,scorpius03
34,2026-01-16 01:43:50,default,teastore-persistence-784748b4b9-sxjss,luish-aspire-a315-55g
34,2026-01-16 01:43:50,default,teastore-recommender-74559c88-kqk6d,scorpius03
34,2026-01-16 01:43:50,default,teastore-registry-676858f7cd-zvktw,leo02
34,2026-01-16 01:43:50,default,teastore-webui-558b54cc77-wbt8w,luish-nitro-an515-57
35,2026-01-16 01:43:59,default,teastore-auth-84d7ccddd9-ztnck,leo02
35,2026-01-16 01:43:59,default,teastore-db-84f96b9dd8-v8v4l,luish-aspire-a315-55g
35,2026-01-16 01:43:59,default,teastore-image-79674648d-sffpt,luish-nitro-an515-57
35,2026-01-16 01:43:59,default,teastore-persistence-784748b4b9-k6cw7,luish-nitro-an515-57
35,2026-01-16 01:43:59,default,teastore-recommender-74559c88-kqk6d,scorpius03
35,2026-01-16 01:43:59,default,teastore-registry-676858f7cd-zvktw,leo02
35,2026-01-16 01:43:59,default,teastore-webui-558b54cc77-cnfnw,leo02
36,2026-01-16 01:44:08,default,teastore-auth-84d7ccddd9-ztnck,leo02
36,2026-01-16 01:44:08,default,teastore-db-84f96b9dd8-v8v4l,luish-aspire-a315-55g
36,2026-01-16 01:44:08,default,teastore-image-79674648d-z8md4,luish-aspire-a315-55g
36,2026-01-16 01:44:08,default,teastore-persistence-784748b4b9-k6cw7,luish-nitro-an515-57
36,2026-01-16 01:44:08,default,teastore-recommender-74559c88-pk88b,luish-nitro-an515-57
36,2026-01-16 01:44:08,default,teastore-registry-676858f7cd-zvktw,leo02
36,2026-01-16 01:44:08,default,teastore-webui-558b54cc77-cnfnw,leo02
37,2026-01-16 01:44:17,default,teastore-auth-84d7ccddd9-kqddl,leo02
37,2026-01-16 01:44:17,default,teastore-db-84f96b9dd8-wn29z,leo02
37,2026-01-16 01:44:17,default,teastore-image-79674648d-z8md4,luish-aspire-a315-55g
37,2026-01-16 01:44:17,default,teastore-persistence-784748b4b9-k6cw7,luish-nitro-an515-57
37,2026-01-16 01:44:17,default,teastore-recommender-74559c88-pk88b,luish-nitro-an515-57
37,2026-01-16 01:44:17,default,teastore-registry-676858f7cd-vdck8,scorpius03
37,2026-01-16 01:44:17,default,teastore-webui-558b54cc77-hppw7,scorpius03
38,2026-01-16 01:44:25,default,teastore-auth-84d7ccddd9-kqddl,leo02
38,2026-01-16 01:44:25,default,teastore-db-84f96b9dd8-wn29z,leo02
38,2026-01-16 01:44:25,default,teastore-image-79674648d-z8md4,luish-aspire-a315-55g
38,2026-01-16 01:44:25,default,teastore-persistence-784748b4b9-f5xlx,leo02
38,2026-01-16 01:44:25,default,teastore-recommender-74559c88-pk88b,luish-nitro-an515-57
38,2026-01-16 01:44:25,default,teastore-registry-676858f7cd-vdck8,scorpius03
38,2026-01-16 01:44:25,default,teastore-webui-558b54cc77-mxns8,luish-aspire-a315-55g
39,2026-01-16 01:44:34,default,teastore-auth-84d7ccddd9-kqddl,leo02
39,2026-01-16 01:44:34,default,teastore-db-84f96b9dd8-wn29z,leo02
39,2026-01-16 01:44:34,default,teastore-image-79674648d-z8md4,luish-aspire-a315-55g
39,2026-01-16 01:44:34,default,teastore-persistence-784748b4b9-xpp8c,luish-nitro-an515-57
39,2026-01-16 01:44:34,default,teastore-recommender-74559c88-pk88b,luish-nitro-an515-57
39,2026-01-16 01:44:34,default,teastore-registry-676858f7cd-vmfhj,luish-nitro-an515-57
39,2026-01-16 01:44:34,default,teastore-webui-558b54cc77-sfv6x,leo02
40,2026-01-16 01:44:42,default,teastore-auth-84d7ccddd9-czh7c,scorpius03
40,2026-01-16 01:44:42,default,teastore-db-84f96b9dd8-wn29z,leo02
40,2026-01-16 01:44:42,default,teastore-image-79674648d-z8md4,luish-aspire-a315-55g
40,2026-01-16 01:44:42,default,teastore-persistence-784748b4b9-xpp8c,luish-nitro-an515-57
40,2026-01-16 01:44:42,default,teastore-recommender-74559c88-wm9b4,luish-aspire-a315-55g
40,2026-01-16 01:44:42,default,teastore-registry-676858f7cd-x8stx,luish-aspire-a315-55g
40,2026-01-16 01:44:42,default,teastore-webui-558b54cc77-sfv6x,leo02
41,2026-01-16 01:44:51,default,teastore-auth-84d7ccddd9-fxvbt,leo02
41,2026-01-16 01:44:51,default,teastore-db-84f96b9dd8-qjjfc,scorpius03
41,2026-01-16 01:44:51,default,teastore-image-79674648d-z8md4,luish-aspire-a315-55g
41,2026-01-16 01:44:51,default,teastore-persistence-784748b4b9-xpp8c,luish-nitro-an515-57
41,2026-01-16 01:44:51,default,teastore-recommender-74559c88-wm9b4,luish-aspire-a315-55g
41,2026-01-16 01:44:51,default,teastore-registry-676858f7cd-x8stx,luish-aspire-a315-55g
41,2026-01-16 01:44:51,default,teastore-webui-558b54cc77-sfv6x,leo02
42,2026-01-16 01:45:00,default,teastore-auth-84d7ccddd9-fxvbt,leo02
42,2026-01-16 01:45:00,default,teastore-db-84f96b9dd8-qjjfc,scorpius03
42,2026-01-16 01:45:00,default,teastore-image-79674648d-tsb6s,luish-aspire-a315-55g
42,2026-01-16 01:45:00,default,teastore-persistence-784748b4b9-xpp8c,luish-nitro-an515-57
42,2026-01-16 01:45:00,default,teastore-recommender-74559c88-wm9b4,luish-aspire-a315-55g
42,2026-01-16 01:45:00,default,teastore-registry-676858f7cd-zpq27,leo02
42,2026-01-16 01:45:00,default,teastore-webui-558b54cc77-sfv6x,leo02
43,2026-01-16 01:45:08,default,teastore-auth-84d7ccddd9-fxvbt,leo02
